Project Code,Project Sub Code,Project Full Code,Activity,Activity Division,Unit,Zone Ref,Column 45,Column 44,Total Value,Planned Activity Start Date,Total Drilling Meters
P5039,,P5039,Vibro Compaction,Soil Improvement Division,No.,P5039 ‣ 0,P5039 ‣ 0,0,"423,077.00",14-Jul-25,
P5042,,P5042,Mobilization,Enabling Division,Lump Sum,P5042 ‣ 0,P5042 ‣ 0,0,"37,500.00",14-Jul-25,
P5045,,P5045,Vibro Compaction,Soil Improvement Division,No.,P5045 ‣ 0,P5045 ‣ 0,0,"408,850.00",21-Jul-25,
P407,,P407,Mobilization - Infra,Infrastructure Division,Lump Sum,P407 ‣ 0,P407 ‣ 0,0,"25,000.00",3-Sep-25,
P5041,,P5041,Supply of Concrete Panel,Enabling Division,No.,P5041 ‣ 0,P5041 ‣ 0,0,"13,500.00",19-Jun-25,
P5035,,P5035,Sheet Pile,Enabling Division,No.,P5035 ‣ 0,P5035 ‣ 0,0,"263,500.00",28-Jul-25,
P4101,,P4101,Mobilization,Enabling Division,Lump Sum,P4101 ‣ 0,P4101 ‣ 0,0,"17,500.00",3-Sep-25,
P4101,,P4101,Sheet Pile,Enabling Division,No.,P4101 ‣ 0,P4101 ‣ 0,0,"154,000.00",3-Sep-25,
P4101,,P4101,Soldier Pile (H. Beams),Enabling Division,No.,P4101 ‣ 0,P4101 ‣ 0,0,"101,400.00",3-Sep-25,
P4101,,P4101,Supply of Concrete Panel,Enabling Division,No.,P4101 ‣ 0,P4101 ‣ 0,0,"27,000.00",3-Sep-25,
P4109,,P4109,Excavation to General PL,Enabling Division,Cubic Meter,P4109 ‣ 1,P4109 ‣ 1,1,"66,067.00",24-May-25,
P5041,,P5041,Soldier Pile (H. Beams),Enabling Division,No.,P5041 ‣ 0,P5041 ‣ 0,0,"68,300.00",19-Jun-25,
P5041,,P5041,Predrilling for Soldier Piles,Enabling Division,No.,P5041 ‣ 0,P5041 ‣ 0,0,"13,500.00",17-Jun-25,
P4109,,P4109,Excavation to General PL,Enabling Division,Cubic Meter,P4109 ‣ 2,P4109 ‣ 2,2,"66,067.00",11-Jun-25,
P5035,,P5035,Predrilling for Sheet Piles,Enabling Division,No.,P5035 ‣ 0,P5035 ‣ 0,0,0,21-Jul-25,
P493,,P493,C.Piles 1000mm,Enabling Division,No.,P493 ‣ 0,P493 ‣ 0,0,"1,253,655.00",11-Jan-25,
P4109,,P4109,Sheet Pile,Enabling Division,No.,P4109 ‣ 1,P4109 ‣ 1,1,"235,200.00",22-Apr-25,
P4109,,P4109,Soldier Pile (H. Beams),Enabling Division,No.,P4109 ‣ 1,P4109 ‣ 1,1,"53,600.00",9-May-25,
P5052,,P5052,Soldier Pile (H. Beams),Enabling Division,No.,P5052 ‣ 0,P5052 ‣ 0,0,"220,000.00",29-Jul-25,
P493,,P493,Integrity Test,Enabling Division,No.,P493 ‣ 0,P493 ‣ 0,0,"3,645.00",10-Mar-25,
P5002,P,P5002-P,C.Piles 1000mm,Enabling Division,No.,P5002-P ‣ 0,P5002-P ‣ 0,0,"2,002,440.00",27-Feb-25,
