Project Full Code,Activity Name,Quantity,Input Type,Section,Drilled Meters
P5019,P5019 ‣ Guide Wall - Infra ‣ 0,30,Actual,,
P5019,P5019 ‣ Guide Wall - Infra ‣ 0,30,Actual,,
P5003-P,P5003-P ‣ Deep Well Installation ‣ 0,4,Actual,,
P5016,P5016 ‣ Secant Pile ‣ 0,7,Actual,7 hard,77
P5017,P5017 ‣ Site Preliminaries ‣ 0,1,Actual,,
P441,P441 ‣ Site Preliminaries ‣ 0,1,Actual,0,
P441,P441 ‣ Trial Pit ‣ 0,1,Actual,0,
P478,P478 ‣ Secant Pile ‣ 2,5,Actual,,75
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,3,Actual,P-7,71
P5003-P,P5003-P ‣ Mobilization ‣ 0,1,Actual,,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,3,Actual,P-7,71
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 1,0,Actual,ALL,
P5007,P5007 ‣ Guide Wall ‣ 1,75,Actual,,
P5016,P5016 ‣ Secant Pile ‣ 0,7,Actual,7 hard with 77lm,77
P5017,P5017 ‣ Guide Wall ‣ 0,22,Actual,0,
P5003-S,P5003-S ‣ Strut Work ‣ 2,1,Actual,,
P5009,P5009 ‣ C.Piles 1200mm ‣ 0,3,Actual,231-234-186,99
P5025-C,P5025-C ‣ Mobilization - Infra ‣ 0,1,Actual,,
P5009,P5009 ‣ C.Piles 1500mm ‣ 0,1,Actual,163,60
P5009,P5009 ‣ Plunge Column ‣ 0,1,Actual,6,20
P441,P441 ‣ Design & Shop Drawings ‣ 0,1,Actual,,
P441,P441 ‣ Mobilization ‣ 0,1,Actual,,
P5023,P5023 ‣ Stone Column ‣ 1,10,Actual,1,90
P5028,P5028 ‣ Mobilization Works -Soil Improvement ‣ 0,1,Actual,0,0
P5003-P,P5003-P ‣ C.Piles 750mm ‣ 2,0,Actual,ALL,
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-8,25
P5003-P,P5003-P ‣ C.Piles 1000mm ‣ 1,1,Actual,P-8,75
P5038,P5038 ‣ Mobilization Works -Soil Improvement ‣ 0,1,Actual,0,0
