Project Full Code,Activity Name,Quantity,Input Type,Section,Drilled Meters
P311,P311 ‣ Excavation to Final Pit ‣ 1,564,Planned,,
P311,P311 ‣ Excavation to General PL ‣ 2,567,Planned,-10m,
P311,P311 ‣ Running of Dewatering System ‣ 0,1,Planned,,
P4108,P4108 ‣ Vibro Compaction ‣ 0,20,Planned,,
P4110,P4110 ‣ Deep Well Installation ‣ 0,2,Planned,,
P452,P452 ‣ Secant Pile ‣ 0,9,Planned,,
P468-S,P468-S ‣ Soldier Pile (H. Beams) ‣ 0,5,Planned,,
P470,P470 ‣ Strut Work ‣ 1,2,Planned,,
P473,P473 ‣ Secant Pile ‣ 0,6,Planned,,
P473,P473 ‣ Disposal of pile excavated Material ‣ 0,40,Planned,,
P480,P480 ‣ Vibro Compaction ‣ 0,16,Planned,,
P490,P490 ‣ Vibro Compaction ‣ 0,17,Planned,,
P491,P491 ‣ Secant Pile ‣ 0,6,Planned,,
P492,P492 ‣ C.Piles 1000mm ‣ 0,5,Planned,,
P492,P492 ‣ Caliper Logging Test ‣ 0,1,Planned,,
P499,P499 ‣ Vibro Compaction ‣ 0,14,Planned,,
P311,P311 ‣ Excavation to Final Pit ‣ 1,564,Planned,,
P311,P311 ‣ Excavation to General PL ‣ 2,567,Planned,-10m,
P311,P311 ‣ Running of Dewatering System ‣ 0,1,Planned,,
P4104-606 & 707,P4104-606 & 707 ‣ Guide Wall ‣ 0,32,Planned,,
P4108,P4108 ‣ Vibro Compaction ‣ 0,21,Planned,,
P4110,P4110 ‣ Deep Well Installation ‣ 0,2,Planned,,
P416-P,P416-P ‣ Sonic Test ‣ 0,18,Planned,,
P452,P452 ‣ Secant Pile ‣ 0,9,Planned,,
P468-S,P468-S ‣ Soldier Pile (H. Beams) ‣ 0,6,Planned,,
P470,P470 ‣ Strut Work ‣ 1,2,Planned,,
P473,P473 ‣ Secant Pile ‣ 0,6,Planned,,
P473,P473 ‣ Disposal of pile excavated Material ‣ 0,40,Planned,,
P480,P480 ‣ Vibro Compaction ‣ 0,16,Planned,,
P483,P483 ‣ Secant Pile ‣ 0,1,Planned,,
P490,P490 ‣ Vibro Compaction ‣ 0,17,Planned,,
P491,P491 ‣ Secant Pile ‣ 0,6,Planned,,
P492,P492 ‣ C.Piles 1000mm ‣ 0,5,Planned,,
P499,P499 ‣ Vibro Compaction ‣ 0,14,Planned,,
P311,P311 ‣ Excavation to Final Pit ‣ 1,564,Planned,,
P311,P311 ‣ Excavation to General PL ‣ 2,567,Planned,-10m,
P311,P311 ‣ Running of Dewatering System ‣ 0,1,Planned,,
P4104-606 & 707,P4104-606 & 707 ‣ Guide Wall ‣ 0,33,Planned,,
