Project Code,Project Sub-Code,Day,Planned Date,Actual Date,Project Full Code,Activity Name,Quantity,Zone #,Input Type,Value,Drilled Meters
P311,,6-Jan-25,6-Jan-25,7-Jan-25,P311,P311 ‣ Excavation to Final Pit ‣ 1,564,1,Planned,"14,938.83",
P311,,6-Jan-25,6-Jan-25,7-Jan-25,P311,P311 ‣ Excavation to General PL ‣ 2,567,2,Planned,"15,018.30",
P311,,21-Nov-24,21-Nov-24,7-Jan-25,P311,P311 ‣ Running of Dewatering System ‣ 0,1,0,Planned,"5,179.02",
P4108,,25-Dec-24,25-Dec-24,7-Jan-25,P4108,P4108 ‣ Vibro Compaction ‣ 0,20,0,Planned,"11,607.76",
P4110,,25-Dec-24,25-Dec-24,7-Jan-25,P4110,P4110 ‣ Deep Well Installation ‣ 0,2,0,Planned,"14,873.76",
P452,,18-Dec-24,18-Dec-24,7-Jan-25,P452,P452 ‣ Secant Pile ‣ 0,9,0,Planned,"40,730.28",
P5019,,18-Jun-25,Actual,18-Jun-25,P5019,P5019 ‣ Guide Wall - Infra ‣ 0,30,0,Actual,"10,828.13",
P5019,,19-Jun-25,Actual,19-Jun-25,P5019,P5019 ‣ Guide Wall - Infra ‣ 0,30,0,Actual,"10,828.13",
P5003,P,4-Aug-24,Actual,4-Aug-24,P5003-P,P5003-P ‣ Deep Well Installation ‣ 0,4,0,Actual,0,
P5016,,2-Aug-25,Actual,2-Aug-25,P5016,P5016 ‣ Secant Pile ‣ 0,7,0,Actual,"28,196.88",77
P5017,,16-Jul-25,Actual,16-Jul-25,P5017,P5017 ‣ Site Preliminaries ‣ 0,1,0,Actual,"113,170.00",
P441,,25-Dec-24,Actual,25-Dec-24,P441,P441 ‣ Site Preliminaries ‣ 0,1,0,Actual,"206,550.00",
P441,,25-Dec-24,Actual,25-Dec-24,P441,P441 ‣ Trial Pit ‣ 0,1,0,Actual,"10,000.00",
P478,,1-Aug-25,Actual,1-Aug-25,P478,P478 ‣ Secant Pile ‣ 2,5,2,Actual,"33,705.19",75
