Project Code,Project Sub-Code,Project Name,Project Type,Responsible Division,Plot Number,KPI Completed,Project Status,Contract Amount,Contract Status,Work Programme,Latitude,Longitude,Project Manager Email,Area Manager Email,Date Project Awarded,Workmanship only?,Advnace Payment Required,Client Name,Consultant Name,First Party name,Virtual Material Value
P21-20,,ALPAGO Palm Jumeirah,"Enabling Works, Shoring Works, Piling Works, Soil Improvement Works, Marine Works, Testing Works, Others",Enabling Division,,TRUE,Completed,"7,638,540.00",Signed,Approved,25.1076029,55.1435957,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,,,,
P230,,Alfa - Al Wasl,Shoring Works,Enabling Division,,TRUE,Completed,"300,000.00",Signed,Approved,,,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,,,,
P248,,Rumaysa - Dubai Hills,Shoring Works,Enabling Division,,TRUE,Completed,"801,000.00",Signed,Approved,,,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,,,,
P258,,Accord-Dubai Hills,Shoring Works,Enabling Division,,TRUE,Completed,"298,275.00",Signed,Approved,,,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,,,,
P302,,Azizi - Reviera - CP 12 & 15,Shoring Works,Enabling Division,,TRUE,Completed,"3,790,550.00",Signed,Approved,25.172512,55.3152353,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,Meydan,360 Degree Architectural Design Consultancy , Azizi Developments,
P304,,SOBHA - Crest Vista,"Shoring Works, Piling Works",Enabling Division,,TRUE,Completed,"3,459,773.57",Signed,Approved,25.1788194,55.3009662,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,PNC Investments,PNC Architects,Sobha Constructions L.L.C,
P306,,A&M - Plaza B15 - Masdar City,Piling Works,Enabling Division,,TRUE,Completed,"1,500,000.00",Signed,Approved,24.4339178,54.6224247,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE, Masdar - A Mubadala Company, Al Reem Engineering Consultancy LLC ,A&M INTERNATIONAL GEN. CONTRACTING L.L.C,
P307,,PSE - THOE,Testing Works,Enabling Division,,TRUE,Completed,"275,625.00",Signed,Approved,25.2300544,55.1595898,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,The Heart of Europe, Fakhry Engineering Consultancy,PSE BUILDING CONTRACTING LLC,
P308,,Granada Europe - Royale - Business Bay,Shoring Works,Enabling Division,,TRUE,Completed,"72,450.00",Signed,Approved,25.188436,55.280143,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,Binghatti Properties Investment Limited,Silver Stone Engineering Consultants,Granada Europe Consturction LLC,
P309,,SOBHA - CM Villa,Piling Works,Enabling Division,,TRUE,Completed,"836,248.00",Signed,Approved,25.1738491,55.3287207,Planning@rabatpfc.com,Planning@rabatpfc.com,,Full Package,FALSE,PNC Investments Ltd.,PNC Architects,Sobha Constructions L.L.C,
